"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2025","EQ","82.45","86.94","82.00","81.28","82.20","82.20","84.53","118.40","71.00","7,23,67,264","6,11,72,00,295.01","1,80,358"
"27-Mar-2025","EQ","80.60","82.27","80.00","80.94","81.82","81.28","81.17","118.40","71.00","8,49,26,439","6,89,34,59,449.20","1,09,502"
"26-Mar-2025","EQ","81.45","82.85","80.55","81.31","80.90","80.94","81.78","118.40","71.00","2,00,90,934","1,64,29,73,080.68","76,066"
"25-Mar-2025","EQ","84.30","84.65","80.75","83.62","81.21","81.31","82.12","118.40","71.00","1,98,26,090","1,62,82,12,939.35","66,580"
"24-Mar-2025","EQ","83.29","84.99","83.19","82.56","83.65","83.62","83.93","118.40","71.00","1,98,69,482","1,66,76,23,249.91","65,446"
"21-Mar-2025","EQ","80.20","84.09","80.02","80.04","82.53","82.56","82.85","118.40","71.00","4,80,89,355","3,98,42,80,560.69","1,33,897"
"20-Mar-2025","EQ","81.38","81.80","79.67","80.20","79.95","80.04","80.52","118.40","71.00","1,24,43,348","1,00,19,34,957.70","45,848"
"19-Mar-2025","EQ","79.30","80.60","79.06","79.13","80.17","80.20","80.05","118.40","71.00","1,07,58,869","86,12,89,690.72","40,317"
"18-Mar-2025","EQ","78.75","79.35","77.88","78.33","79.12","79.13","78.74","118.40","71.00","1,21,51,679","95,67,83,435.03","55,491"
"17-Mar-2025","EQ","77.60","79.20","77.60","77.57","78.16","78.33","78.33","118.40","71.00","1,15,45,925","90,43,49,811.57","51,287"
"13-Mar-2025","EQ","78.80","79.00","77.30","78.36","77.57","77.57","78.02","118.40","71.00","1,15,12,350","89,81,83,257.29","50,032"
"12-Mar-2025","EQ","77.00","78.50","76.69","76.58","78.33","78.36","77.67","118.40","71.00","1,56,57,366","1,21,61,23,680.40","59,690"
"11-Mar-2025","EQ","75.00","76.95","74.32","75.80","76.73","76.58","75.87","118.40","71.00","1,25,55,697","95,26,29,515.53","87,128"
"10-Mar-2025","EQ","77.40","78.50","75.31","77.03","75.44","75.80","76.93","118.40","71.00","1,15,91,159","89,17,16,518.34","54,840"
"07-Mar-2025","EQ","77.41","78.15","76.63","77.51","76.96","77.03","77.39","118.40","71.00","1,09,46,561","84,71,94,611.33","52,451"
"06-Mar-2025","EQ","77.00","77.82","76.50","76.35","77.20","77.51","77.32","118.40","71.00","1,08,95,125","84,24,25,312.53","48,731"
"05-Mar-2025","EQ","74.00","76.56","74.00","73.57","76.50","76.35","75.73","118.40","71.00","1,51,68,229","1,14,87,07,497.54","59,642"
"04-Mar-2025","EQ","72.98","74.40","72.43","73.37","73.85","73.57","73.57","118.40","71.00","1,59,15,861","1,17,08,67,398.71","57,151"
